PassengerId,Survived,Age_x_IsAlone,Deck_C,Deck_T,Deck_Unknown,Embarked_S,FamilySize,FarePerPerson,HasAge,LogAge,LogFare,Parch,Pclass,Pclass_x_Fare,Sex_male,SibSp,Title_Master,Title_Miss,Title_Mr,Title_Mrs
20,1,28.0,0,0,1,0,1,7.225,0,3.367295829986474,2.107178296651436,0,3,21.675,0,0,0,0,0,1
21,0,35.0,0,0,1,1,1,26.0,1,3.58351893845611,3.295836866004329,0,2,52.0,1,0,0,0,1,0
22,1,34.0,0,0,0,1,1,13.0,1,3.555348061489413,2.639057329615259,0,2,26.0,1,0,0,0,1,0
23,1,15.0,0,0,1,0,1,8.0292,1,2.772588722239781,2.200463769927285,0,3,24.0876,0,0,0,1,0,0
24,1,28.0,0,0,0,1,1,35.5,1,3.367295829986474,3.597312260588446,0,1,35.5,1,0,0,0,1,0
25,0,0.0,0,0,1,1,5,4.215,1,2.19722457733622,3.094445746490024,1,3,63.225,0,3,0,1,0,0
26,1,0.0,0,0,1,1,7,4.483928571428572,1,3.6635616461296463,3.4777725458882283,5,3,94.1625,0,1,0,0,0,1
27,0,28.0,0,0,1,0,1,7.225,0,3.367295829986474,2.107178296651436,0,3,21.675,1,0,0,0,1,0
28,0,0.0,1,0,0,1,6,16.711466666666666,1,2.995732273553991,4.61777836776278,2,1,100.2688,1,3,0,0,1,0
29,1,28.0,0,0,1,0,1,7.8792,0,3.367295829986474,2.1837114628556327,0,3,23.6376,0,0,0,1,0,0
30,0,28.0,0,0,1,1,1,7.8958,0,3.367295829986474,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
31,0,40.0,0,0,1,0,1,27.7208,1,3.713572066704308,3.357621598945279,0,1,27.7208,1,0,0,0,0,0
32,1,0.0,0,0,0,0,2,50.1344,0,3.367295829986474,4.61777836776278,0,1,100.2688,0,1,0,0,0,1
33,1,28.0,0,0,1,0,1,7.75,0,3.367295829986474,2.169053700369523,0,3,23.25,0,0,0,1,0,0
34,0,54.5,0,0,1,1,1,10.5,1,4.0163830207523885,2.4423470353692043,0,2,21.0,1,0,0,0,1,0
35,0,0.0,0,0,1,0,2,41.0854,1,3.367295829986474,4.420896324687287,0,1,82.1708,1,1,0,0,1,0
36,0,0.0,0,0,1,1,2,26.0,1,3.7612001156935615,3.970291913552122,0,1,52.0,1,1,0,0,1,0
37,1,28.0,0,0,1,0,1,7.2292,0,3.367295829986474,2.1076888046179385,0,3,21.6876,1,0,0,0,1,0
38,0,21.0,0,0,1,1,1,8.05,1,3.091042453358316,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
39,0,0.0,0,0,1,1,3,6.0,1,2.9444389791664403,2.9444389791664403,0,3,54.0,0,2,0,1,0,0
40,1,0.0,0,0,1,0,2,5.62085,1,2.70805020110221,2.5048481563289,0,3,33.7251,0,1,0,1,0,0
41,0,0.0,0,0,1,1,2,4.7375,1,3.713572066704308,2.3489914658082016,0,3,28.425,0,1,0,0,0,1
42,0,0.0,0,0,1,1,2,10.5,1,3.332204510175204,3.091042453358316,0,2,42.0,0,1,0,0,0,1
43,0,28.0,0,0,1,0,1,7.8958,0,3.367295829986474,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
44,1,0.0,0,0,1,0,4,10.3948,1,1.3862943611198906,3.751365871125377,2,2,83.1584,0,1,0,1,0,0
45,1,19.0,0,0,1,0,1,7.8792,1,2.995732273553991,2.1837114628556327,0,3,23.6376,0,0,0,1,0,0
46,0,28.0,0,0,1,1,1,8.05,0,3.367295829986474,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
47,0,0.0,0,0,1,0,2,7.75,0,3.367295829986474,2.803360380906535,0,3,46.5,1,1,0,0,1,0
48,1,28.0,0,0,1,0,1,7.75,0,3.367295829986474,2.169053700369523,0,3,23.25,0,0,0,1,0,0
49,0,0.0,0,0,1,0,3,7.226400000000001,0,3.367295829986474,3.121448204868825,0,3,65.0376,1,2,0,0,1,0
50,0,0.0,0,0,1,1,2,8.9,1,2.9444389791664403,2.9338568698359038,0,3,53.400000000000006,0,1,0,0,0,1
51,0,0.0,0,0,1,1,6,6.614583333333333,1,2.079441541679836,3.705920919968788,1,3,119.0625,1,4,1,0,0,0
52,0,21.0,0,0,1,1,1,7.8,1,3.091042453358316,2.174751721484161,0,3,23.4,1,0,0,0,1,0
53,1,0.0,0,0,0,0,2,38.3646,1,3.912023005428146,4.353230991152628,0,1,76.7292,0,1,0,0,0,1
54,1,0.0,0,0,1,1,2,13.0,1,3.4011973816621555,3.295836866004329,0,2,52.0,0,1,0,0,0,1
55,0,0.0,0,0,0,0,2,30.9896,1,4.0163830207523885,4.142804513146981,1,1,61.9792,1,0,0,0,1,0
56,1,28.0,1,0,0,1,1,35.5,0,3.367295829986474,3.597312260588446,0,1,35.5,1,0,0,0,1,0
57,1,21.0,0,0,1,1,1,10.5,1,3.091042453358316,2.4423470353692043,0,2,21.0,0,0,0,1,0,0
58,0,28.5,0,0,1,0,1,7.2292,1,3.3843902633457743,2.1076888046179385,0,3,21.6876,1,0,0,0,1,0
59,1,0.0,0,0,1,1,4,6.9375,1,1.791759469228055,3.3586377672433594,2,2,55.5,0,1,0,1,0,0
60,0,0.0,0,0,1,1,8,5.8625,1,2.4849066497880004,3.8691155044168695,2,3,140.7,1,5,1,0,0,0
61,0,22.0,0,0,1,0,1,7.2292,1,3.1354942159291497,2.1076888046179385,0,3,21.6876,1,0,0,0,1,0
62,1,38.0,0,0,0,1,1,80.0,1,3.6635616461296463,4.394449154672439,0,1,80.0,0,0,0,1,0,0
63,0,0.0,1,0,0,1,2,41.7375,1,3.828641396489095,4.436455632600354,0,1,83.475,1,1,0,0,1,0
64,0,0.0,0,0,1,1,6,4.65,1,1.6094379124341005,3.3638415951183864,2,3,83.69999999999999,1,3,1,0,0,0
65,0,28.0,0,0,1,0,1,27.7208,0,3.367295829986474,3.357621598945279,0,1,27.7208,1,0,0,0,1,0
66,1,0.0,0,0,1,0,3,5.081933333333333,0,3.367295829986474,2.787834413830345,1,3,45.7374,1,1,1,0,0,0
67,1,29.0,0,0,0,1,1,10.5,1,3.4011973816621555,2.4423470353692043,0,2,21.0,0,0,0,0,0,1
68,0,19.0,0,0,1,1,1,8.1583,1,2.995732273553991,2.2146605719425225,0,3,24.4749,1,0,0,0,1,0
69,1,0.0,0,0,1,1,7,1.1321428571428571,1,2.8903717578961645,2.188856327665703,2,3,23.775,0,4,0,1,0,0
70,0,0.0,0,0,1,1,3,2.8875,1,3.295836866004329,2.2682524139135403,0,3,25.9875,1,2,0,0,1,0
71,0,32.0,0,0,1,1,1,10.5,1,3.49650756146648,2.4423470353692043,0,2,21.0,1,0,0,0,1,0
72,0,0.0,0,0,1,1,8,5.8625,1,2.833213344056216,3.8691155044168695,2,3,140.7,0,5,0,1,0,0
73,0,21.0,0,0,1,1,1,73.5,1,3.091042453358316,4.310799125385514,0,2,147.0,1,0,0,0,1,0
74,0,0.0,0,0,1,0,2,7.2271,1,3.295836866004329,2.737880811060884,0,3,43.3626,1,1,0,0,1,0
75,1,32.0,0,0,1,1,1,56.4958,1,3.49650756146648,4.051711901657239,0,3,169.4874,1,0,0,0,1,0
76,0,25.0,0,0,0,1,1,7.65,1,3.258096538021482,2.157559320943788,0,3,22.950000000000003,1,0,0,0,1,0
77,0,28.0,0,0,1,1,1,7.8958,0,3.367295829986474,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
78,0,28.0,0,0,1,1,1,8.05,0,3.367295829986474,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
79,1,0.0,0,0,1,1,3,9.666666666666666,1,1.252762968495368,3.4011973816621555,2,2,58.0,1,0,1,0,0,0
80,1,30.0,0,0,1,1,1,12.475,1,3.4339872044851463,2.600836116795061,0,3,37.425,0,0,0,1,0,0
81,0,22.0,0,0,1,1,1,9.0,1,3.1354942159291497,2.302585092994046,0,3,27.0,1,0,0,0,1,0
82,1,29.0,0,0,1,1,1,9.5,1,3.4011973816621555,2.3513752571634776,0,3,28.5,1,0,0,0,1,0
83,1,28.0,0,0,1,0,1,7.7875,0,3.367295829986474,2.1733302571367834,0,3,23.3625,0,0,0,1,0,0
84,0,28.0,0,0,1,1,1,47.1,1,3.367295829986474,3.873282177111716,0,1,47.1,1,0,0,0,1,0
85,1,17.0,0,0,1,1,1,10.5,1,2.8903717578961645,2.4423470353692043,0,2,21.0,0,0,0,1,0,0
86,1,0.0,0,0,1,1,4,3.9625,1,3.5263605246161616,2.8243506567983707,0,3,47.55,0,3,0,0,0,1
87,0,0.0,0,0,1,1,5,6.875,1,2.833213344056216,3.566005355963401,3,3,103.125,1,1,0,0,1,0
88,0,28.0,0,0,1,1,1,8.05,0,3.367295829986474,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
89,1,0.0,1,0,0,1,6,16.711466666666666,1,3.1780538303479458,4.61777836776278,2,1,100.2688,0,3,0,1,0,0
90,0,24.0,0,0,1,1,1,8.05,1,3.218875824868201,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
91,0,29.0,0,0,1,1,1,8.05,1,3.4011973816621555,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
92,0,20.0,0,0,1,1,1,7.8542,1,3.044522437723423,2.180891922715322,0,3,23.5626,1,0,0,0,1,0
93,0,0.0,0,0,0,1,2,30.5875,1,3.8501476017100575,4.1299529896894684,0,1,61.175,1,1,0,0,1,0
94,0,0.0,0,0,1,1,4,5.14375,1,3.295836866004329,3.0715352369694915,2,3,61.725,1,1,0,0,1,0
95,0,54.5,0,0,1,1,1,7.25,1,4.0163830207523885,2.110213200346589,0,3,21.75,1,0,0,0,1,0
96,0,28.0,0,0,1,1,1,8.05,0,3.367295829986474,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
97,0,54.5,0,0,0,0,1,34.6542,1,4.0163830207523885,3.57386695198272,0,1,34.6542,1,0,0,0,1,0
98,1,0.0,0,0,0,0,2,31.67915,1,3.1780538303479458,4.164465907853638,1,1,63.3583,1,0,0,0,1,0
99,1,0.0,0,0,1,1,2,11.5,1,3.555348061489413,3.1780538303479458,1,2,46.0,0,0,0,0,0,1
100,0,0.0,0,0,1,1,2,13.0,1,3.555348061489413,3.295836866004329,0,2,52.0,1,1,0,0,1,0
101,0,28.0,0,0,1,1,1,7.8958,1,3.367295829986474,2.1855792552411137,0,3,23.6874,0,0,0,1,0,0
102,0,28.0,0,0,1,1,1,7.8958,0,3.367295829986474,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
103,0,0.0,0,0,0,1,2,38.64375,1,3.091042453358316,4.360387947851531,1,1,77.2875,1,0,0,0,1,0
104,0,33.0,0,0,1,1,1,8.6542,1,3.5263605246161616,2.267393053825037,0,3,25.9626,1,0,0,0,1,0
105,0,0.0,0,0,1,1,3,2.6416666666666666,1,3.6375861597263857,2.188856327665703,0,3,23.775,1,2,0,0,1,0
106,0,28.0,0,0,1,1,1,7.8958,1,3.367295829986474,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
107,1,21.0,0,0,1,1,1,7.65,1,3.091042453358316,2.157559320943788,0,3,22.950000000000003,0,0,0,1,0,0
108,1,28.0,0,0,1,1,1,7.775,0,3.367295829986474,2.1719067693519296,0,3,23.325000000000003,1,0,0,0,1,0
109,0,38.0,0,0,1,1,1,7.8958,1,3.6635616461296463,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
110,1,0.0,0,0,1,0,2,12.075,0,3.367295829986474,3.224857896545748,0,3,72.44999999999999,0,1,0,1,0,0
111,0,47.0,1,0,0,1,1,52.0,1,3.8712010109078903,3.970291913552122,0,1,52.0,1,0,0,0,1,0
112,0,0.0,0,0,1,0,2,7.2271,1,2.740840023925201,2.737880811060884,0,3,43.3626,0,1,0,1,0,0
113,0,22.0,0,0,1,1,1,8.05,1,3.1354942159291497,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
114,0,0.0,0,0,1,1,2,4.9125,1,3.044522437723423,2.381858273888553,0,3,29.475,0,1,0,1,0,0
115,0,17.0,0,0,1,0,1,14.4583,1,2.8903717578961645,2.738146075922933,0,3,43.3749,0,0,0,1,0,0
116,0,21.0,0,0,1,1,1,7.925,1,3.091042453358316,2.188856327665703,0,3,23.775,1,0,0,0,1,0
117,0,54.5,0,0,1,0,1,7.75,1,4.0163830207523885,2.169053700369523,0,3,23.25,1,0,0,0,1,0
118,0,0.0,0,0,1,1,2,10.5,1,3.4011973816621555,3.091042453358316,0,2,42.0,1,1,0,0,1,0
119,0,0.0,0,0,0,0,2,50.1344,1,3.218875824868201,4.61777836776278,1,1,100.2688,1,0,0,0,1,0
120,0,0.0,0,0,1,1,7,4.467857142857143,1,1.252762968495368,3.4742929367327062,2,3,93.825,0,4,0,1,0,0
121,0,0.0,0,0,1,1,3,24.5,1,3.091042453358316,4.310799125385514,0,2,147.0,1,2,0,0,1,0
122,0,28.0,0,0,1,1,1,8.05,0,3.367295829986474,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
123,0,0.0,0,0,1,0,2,15.0354,1,3.5115454388310208,3.436268471383741,0,2,60.1416,1,1,0,0,1,0
124,1,32.5,0,0,0,1,1,13.0,1,3.5115454388310208,2.639057329615259,0,2,26.0,0,0,0,1,0,0
125,0,0.0,0,0,0,1,2,38.64375,1,4.007333185232471,4.360387947851531,1,1,77.2875,1,0,0,0,1,0
126,1,0.0,0,0,1,0,2,5.62085,1,2.5649493574615367,2.5048481563289,0,3,33.7251,1,1,1,0,0,0
127,0,28.0,0,0,1,0,1,7.75,0,3.367295829986474,2.169053700369523,0,3,23.25,1,0,0,0,1,0
128,1,24.0,0,0,1,1,1,7.1417,1,3.218875824868201,2.0969990034181696,0,3,21.4251,1,0,0,0,1,0
129,1,0.0,0,0,0,0,3,7.452766666666666,0,3.367295829986474,3.1509523813392697,1,3,67.0749,0,1,0,1,0,0
130,0,45.0,0,0,1,1,1,6.975,1,3.828641396489095,2.076311648670908,0,3,20.925,1,0,0,0,1,0
131,0,33.0,0,0,1,0,1,7.8958,1,3.5263605246161616,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
132,0,20.0,0,0,1,1,1,7.05,1,3.044522437723423,2.085672091430472,0,3,21.15,1,0,0,0,1,0
133,0,0.0,0,0,1,1,2,7.25,1,3.8712010109078903,2.740840023925201,0,3,43.5,0,1,0,0,0,1
134,1,0.0,0,0,1,1,2,13.0,1,3.4011973816621555,3.295836866004329,0,2,52.0,0,1,0,0,0,1
135,0,25.0,0,0,1,1,1,13.0,1,3.258096538021482,2.639057329615259,0,2,26.0,1,0,0,0,1,0
136,0,23.0,0,0,1,0,1,15.0458,1,3.1780538303479458,2.775447133088262,0,2,30.0916,1,0,0,0,1,0
137,1,0.0,0,0,0,1,3,8.7611,1,2.995732273553991,3.3062747934011893,2,1,26.2833,0,0,0,1,0,0
138,0,0.0,1,0,0,1,2,26.55,1,3.6375861597263857,3.990834185852436,0,1,53.1,1,1,0,0,1,0
139,0,16.0,0,0,1,1,1,9.2167,1,2.833213344056216,2.3240236363515288,0,3,27.6501,1,0,0,0,1,0
140,0,24.0,0,0,0,0,1,79.2,1,3.218875824868201,4.384523514872469,0,1,79.2,1,0,0,0,1,0
141,0,0.0,0,0,1,0,3,5.081933333333333,0,3.367295829986474,2.787834413830345,2,3,45.7374,0,0,0,0,0,1
142,1,22.0,0,0,1,1,1,7.75,1,3.1354942159291497,2.169053700369523,0,3,23.25,0,0,0,1,0,0
143,1,0.0,0,0,1,1,2,7.925,1,3.218875824868201,2.8243506567983707,0,3,47.55,0,1,0,0,0,1
144,0,19.0,0,0,1,0,1,6.75,1,2.995732273553991,2.0476928433652555,0,3,20.25,1,0,0,0,1,0
145,0,18.0,0,0,1,1,1,11.5,1,2.9444389791664403,2.525728644308256,0,2,23.0,1,0,0,0,1,0
146,0,0.0,0,0,1,1,3,12.25,1,2.995732273553991,3.6309854756950335,1,2,73.5,1,1,0,0,1,0
147,1,27.0,0,0,1,1,1,7.7958,1,3.332204510175204,2.174274334826008,0,3,23.3874,1,0,0,0,1,0
148,0,0.0,0,0,1,1,5,6.875,1,2.302585092994046,3.566005355963401,2,3,103.125,0,2,0,1,0,0
149,0,0.0,0,0,0,1,3,8.666666666666666,1,3.624340932976365,3.295836866004329,2,2,52.0,1,0,0,0,1,0
150,0,42.0,0,0,1,1,1,13.0,1,3.7612001156935615,2.639057329615259,0,2,26.0,1,0,0,0,0,0
151,0,51.0,0,0,1,1,1,12.525,1,3.951243718581428,2.6045398247325453,0,2,25.05,1,0,0,0,0,0
152,1,0.0,1,0,0,1,2,33.3,1,3.1354942159291497,4.213607983048918,0,1,66.6,0,1,0,0,0,1
153,0,54.5,0,0,1,1,1,8.05,1,4.0163830207523885,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
154,0,0.0,0,0,1,1,3,4.833333333333333,1,3.725693427236653,2.740840023925201,2,3,43.5,1,0,0,0,1,0
155,0,28.0,0,0,1,1,1,7.3125,0,3.367295829986474,2.117760405981973,0,3,21.9375,1,0,0,0,1,0
156,0,0.0,0,0,1,0,2,30.6896,1,3.951243718581428,4.133231886474144,1,1,61.3792,1,0,0,0,1,0
157,1,16.0,0,0,1,0,1,7.7333,1,2.833213344056216,2.167143305297764,0,3,23.1999,0,0,0,1,0,0
158,0,30.0,0,0,1,1,1,8.05,1,3.4339872044851463,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
159,0,28.0,0,0,1,1,1,8.6625,0,3.367295829986474,2.2682524139135403,0,3,25.9875,1,0,0,0,1,0
160,0,0.0,0,0,1,1,11,6.322727272727272,0,3.367295829986474,4.256321678298823,2,3,208.65,1,8,1,0,0,0
161,0,0.0,0,0,1,1,2,8.05,1,3.80666248977032,2.8390784635086144,1,3,48.3,1,0,0,0,1,0
162,1,40.0,0,0,1,1,1,15.75,1,3.713572066704308,2.818398258271076,0,2,31.5,0,0,0,0,0,1
163,0,26.0,0,0,1,1,1,7.775,1,3.295836866004329,2.1719067693519296,0,3,23.325000000000003,1,0,0,0,1,0
164,0,17.0,0,0,1,1,1,8.6625,1,2.8903717578961645,2.2682524139135403,0,3,25.9875,1,0,0,0,1,0
165,0,0.0,0,0,1,1,6,6.614583333333333,1,1.252762968495368,3.705920919968788,1,3,119.0625,1,4,1,0,0,0
166,1,0.0,0,0,1,1,3,6.841666666666666,1,2.302585092994046,3.0692150503137943,2,3,61.575,1,0,1,0,0,0
167,1,0.0,0,0,0,1,2,27.5,0,3.367295829986474,4.02535169073515,1,1,55.0,0,0,0,0,0,1
168,0,0.0,0,0,1,1,6,4.65,1,3.828641396489095,3.3638415951183864,4,3,83.69999999999999,0,1,0,0,0,1
169,0,28.0,0,0,1,1,1,25.925,0,3.367295829986474,3.2930552230424524,0,1,25.925,1,0,0,0,1,0
170,0,28.0,0,0,1,1,1,56.4958,1,3.367295829986474,4.051711901657239,0,3,169.4874,1,0,0,0,1,0
171,0,54.5,0,0,0,1,1,33.5,1,4.0163830207523885,3.5409593240373143,0,1,33.5,1,0,0,0,1,0
172,0,0.0,0,0,1,0,6,4.854166666666667,1,1.6094379124341005,3.405355391810819,1,3,87.375,1,4,1,0,0,0
173,1,0.0,0,0,1,1,3,3.7111,1,1.252762968495368,2.4959537387180646,1,3,33.3999,0,1,0,1,0,0
174,0,21.0,0,0,1,1,1,7.925,1,3.091042453358316,2.188856327665703,0,3,23.775,1,0,0,0,1,0
175,0,54.5,0,0,0,0,1,30.6958,1,4.0163830207523885,3.4561841799918147,0,1,30.6958,1,0,0,0,1,0
176,0,0.0,0,0,1,1,3,2.6180666666666665,1,2.9444389791664403,2.180891922715322,1,3,23.5626,1,1,0,0,1,0
177,0,0.0,0,0,1,1,5,5.09334,0,3.367295829986474,3.275887339030031,1,3,76.4001,1,3,1,0,0,0
178,0,50.0,1,0,0,0,1,28.7125,1,3.9318256327243257,3.391567832686312,0,1,28.7125,0,0,0,1,0,0
179,0,30.0,0,0,1,1,1,13.0,1,3.4339872044851463,2.639057329615259,0,2,26.0,1,0,0,0,1,0
180,0,36.0,0,0,1,1,1,0.0,1,3.610917912644224,0.0,0,3,0.0,1,0,0,0,1,0
181,0,0.0,0,0,1,1,11,6.322727272727272,0,3.367295829986474,4.256321678298823,2,3,208.65,0,8,0,1,0,0
182,0,28.0,0,0,1,0,1,15.05,0,3.367295829986474,2.775708849576025,0,2,30.1,1,0,0,0,1,0
183,0,0.0,0,0,1,1,7,4.483928571428572,1,2.302585092994046,3.4777725458882283,2,3,94.1625,1,4,1,0,0,0
184,1,0.0,0,0,0,1,4,9.75,1,1.252762968495368,3.688879454113936,1,2,78.0,1,2,1,0,0,0
185,1,0.0,0,0,1,1,3,7.341666666666666,1,1.6094379124341005,3.1365805821413706,2,3,66.07499999999999,0,0,0,1,0,0
186,0,28.0,0,0,0,1,1,50.0,0,3.367295829986474,3.9318256327243257,0,1,50.0,1,0,0,0,1,0
187,1,0.0,0,0,1,0,2,7.75,0,3.367295829986474,2.803360380906535,0,3,46.5,0,1,0,0,0,1
188,1,45.0,0,0,1,1,1,26.55,1,3.828641396489095,3.316002535598924,0,1,26.55,1,0,0,0,1,0
189,0,0.0,0,0,1,0,3,5.166666666666667,1,3.713572066704308,2.803360380906535,1,3,46.5,1,1,0,0,1,0
190,0,36.0,0,0,1,1,1,7.8958,1,3.610917912644224,2.1855792552411137,0,3,23.6874,1,0,0,0,1,0
191,1,32.0,0,0,1,1,1,13.0,1,3.49650756146648,2.639057329615259,0,2,26.0,0,0,0,0,0,1
192,0,19.0,0,0,1,1,1,13.0,1,2.995732273553991,2.639057329615259,0,2,26.0,1,0,0,0,1,0
193,1,0.0,0,0,1,1,2,3.9271,1,2.995732273553991,2.180891922715322,0,3,23.5626,0,1,0,1,0,0
194,1,0.0,0,0,0,1,3,8.666666666666666,1,1.3862943611198906,3.295836866004329,1,2,52.0,1,1,1,0,0,0
195,1,44.0,0,0,0,0,1,27.7208,1,3.80666248977032,3.357621598945279,0,1,27.7208,0,0,0,0,0,1
196,1,54.5,0,0,0,0,1,100.2688,1,4.0163830207523885,4.61777836776278,0,1,100.2688,0,0,0,1,0,0
197,0,28.0,0,0,1,0,1,7.75,0,3.367295829986474,2.169053700369523,0,3,23.25,1,0,0,0,1,0
198,0,0.0,0,0,1,1,2,4.2021,1,3.7612001156935615,2.241156397997397,1,3,25.2126,1,0,0,0,1,0
199,1,28.0,0,0,1,0,1,7.75,0,3.367295829986474,2.169053700369523,0,3,23.25,0,0,0,1,0,0
200,0,24.0,0,0,1,1,1,13.0,1,3.218875824868201,2.639057329615259,0,2,26.0,0,0,0,1,0,0
201,0,28.0,0,0,1,1,1,9.5,1,3.367295829986474,2.3513752571634776,0,3,28.5,1,0,0,0,1,0
202,0,0.0,0,0,1,1,11,6.322727272727272,0,3.367295829986474,4.256321678298823,2,3,208.65,1,8,0,0,1,0
203,0,34.0,0,0,1,1,1,6.4958,1,3.555348061489413,2.014342863683701,0,3,19.4874,1,0,0,0,1,0
204,0,45.5,0,0,1,0,1,7.225,1,3.839452312593311,2.107178296651436,0,3,21.675,1,0,0,0,1,0
205,1,18.0,0,0,1,1,1,8.05,1,2.9444389791664403,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
206,0,0.0,0,0,0,1,2,5.23125,1,1.252762968495368,2.4390808375825834,1,3,31.387500000000003,0,0,0,1,0,0
207,0,0.0,0,0,1,1,2,7.925,1,3.49650756146648,2.8243506567983707,0,3,47.55,1,1,0,0,1,0
208,1,26.0,0,0,1,0,1,18.7875,1,3.295836866004329,2.9850504252071306,0,3,56.3625,1,0,0,0,1,0
209,1,16.0,0,0,1,0,1,7.75,1,2.833213344056216,2.169053700369523,0,3,23.25,0,0,0,1,0,0
210,1,40.0,0,0,0,0,1,31.0,1,3.713572066704308,3.4657359027997265,0,1,31.0,1,0,0,0,1,0
211,0,24.0,0,0,1,1,1,7.05,1,3.218875824868201,2.085672091430472,0,3,21.15,1,0,0,0,1,0
212,1,35.0,0,0,1,1,1,21.0,1,3.58351893845611,3.091042453358316,0,2,42.0,0,0,0,1,0,0
213,0,22.0,0,0,1,1,1,7.25,1,3.1354942159291497,2.110213200346589,0,3,21.75,1,0,0,0,1,0
214,0,30.0,0,0,1,1,1,13.0,1,3.4339872044851463,2.639057329615259,0,2,26.0,1,0,0,0,1,0
215,0,0.0,0,0,1,0,2,3.875,0,3.367295829986474,2.169053700369523,0,3,23.25,1,1,0,0,1,0
216,1,0.0,0,0,0,0,2,50.1344,1,3.4657359027997265,4.61777836776278,0,1,100.2688,0,1,0,1,0,0
217,1,27.0,0,0,1,1,1,7.925,1,3.332204510175204,2.188856327665703,0,3,23.775,0,0,0,1,0,0
218,0,0.0,0,0,1,1,2,13.5,1,3.7612001156935615,3.332204510175204,0,2,54.0,1,1,0,0,1,0
219,1,32.0,0,0,0,0,1,76.2917,1,3.49650756146648,4.347586575960343,0,1,76.2917,0,0,0,1,0,0
220,0,30.0,0,0,1,1,1,10.5,1,3.4339872044851463,2.4423470353692043,0,2,21.0,1,0,0,0,1,0
221,1,16.0,0,0,1,1,1,8.05,1,2.833213344056216,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
